City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto del rosario,100,ES,1587600364,72,28.5,-13.86,64.4,11.41
1,urengoy,91,RU,1587600364,89,65.97,78.37,36.14,22.53
2,saskylakh,80,RU,1587600244,96,71.92,114.08,19.36,4.36
3,pirojpur,51,BD,1587600364,89,22.57,89.98,75.7,3.49
4,moose factory,1,CA,1587600364,52,51.26,-80.61,17.6,12.75
5,vaini,75,TO,1587600240,88,-21.2,-175.2,78.8,5.82
6,rikitea,100,PF,1587600239,78,-23.12,-134.97,75.74,15.99
7,upernavik,18,GL,1587600240,95,72.79,-56.15,29.91,8.5
8,forestville,90,US,1587600290,22,38.85,-76.88,59.0,5.82
9,santana,75,BR,1587600364,100,-0.06,-51.18,78.8,6.93
10,mezen,96,RU,1587600364,95,65.85,44.24,22.21,10.78
11,los llanos de aridane,98,ES,1587600251,55,28.66,-17.92,64.4,9.17
12,ouadda,67,CF,1587600364,51,8.08,22.4,75.76,3.69
13,vardo,100,NO,1587600245,90,70.37,31.11,29.64,28.3
14,samarai,61,PG,1587600364,69,-10.62,150.67,83.17,9.48
15,torbay,75,CA,1587600263,86,47.67,-52.73,36.0,38.03
16,norman wells,75,CA,1587600263,57,65.28,-126.83,23.0,6.93
17,daitari,89,IN,1587600365,83,21.1,85.75,74.66,4.0
18,port alfred,0,ZA,1587600244,92,-33.59,26.89,57.99,1.99
19,pangnirtung,100,CA,1587600252,94,66.15,-65.71,21.99,3.67
20,san patricio,75,MX,1587600100,78,19.22,-104.7,78.8,11.41
21,ushuaia,56,AR,1587600239,65,-54.8,-68.3,41.0,5.82
22,koutiala,75,ML,1587600365,30,12.39,-5.46,92.19,6.55
23,faanui,11,PF,1587600243,77,-16.48,-151.75,80.69,15.77
24,harper,31,LR,1587600365,84,4.38,-7.72,80.49,5.73
25,kinablangan,33,PH,1587600365,69,7.69,126.55,83.44,4.76
26,mahebourg,40,MU,1587600247,88,-20.41,57.7,75.2,6.93
27,boyolangu,83,ID,1587600365,81,-8.12,111.89,79.99,3.06
28,haverfordwest,89,GB,1587600365,62,51.8,-4.97,57.0,8.05
